mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
27.584540605545044,1.697922618485103,3.1420379479726157,2.064712183056644,150,50,30,sqrt,8,"{'n_estimators': 150, 'min_samples_split': 50, 'min_samples_leaf': 30, 'max_features': 'sqrt', 'max_depth': 8}",0.7588642011060813,0.7536910668314923,0.7559464867096378,0.7561672515490705,0.002117684646255454,1,0.9358892471193648,0.9341921243533378,0.9336182852963965,0.9345665522563663,0.000964179821150167
16.31910753250122,0.387219165617004,5.725206216176351,1.8089068462484157,100,60,30,sqrt,7,"{'n_estimators': 100, 'min_samples_split': 60, 'min_samples_leaf': 30, 'max_features': 'sqrt', 'max_depth': 7}",0.7510696519549224,0.7455342599328706,0.7455580049467135,0.7473873056115021,0.002603830114926305,2,0.8909321667252615,0.8949577498537833,0.8891045506963214,0.8916648224251221,0.0024450730561862083
20.131934960683186,1.019156733483569,5.609951734542847,2.36737681697576,150,30,20,sqrt,6,"{'n_estimators': 150, 'min_samples_split': 30, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 6}",0.7496008159172137,0.7457467356791346,0.7448444891686571,0.7467306802550019,0.0020626473654089426,3,0.8586796039716387,0.8614737639825362,0.8583881225648385,0.8595138301730044,0.0013909818488958676
13.460296630859375,2.4707764757140613,6.604045470555623,1.76730605496341,150,40,15,log2,7,"{'n_estimators': 150, 'min_samples_split': 40, 'min_samples_leaf': 15, 'max_features': 'log2', 'max_depth': 7}",0.7481070349495976,0.7374128598494244,0.7440430003302941,0.743187631709772,0.004407575817160092,4,0.9367626072129754,0.9407691567238542,0.9412764199754549,0.9396027279707614,0.0020189177696167742
18.723160823186237,0.2600718259408652,2.563802798589071,0.8950524960987561,100,60,20,sqrt,6,"{'n_estimators': 100, 'min_samples_split': 60, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 6}",0.7452236651074859,0.7404196025585624,0.7413998471288877,0.7423477049316455,0.0020726118874789807,5,0.8439906289315531,0.8500217669625691,0.8483048068707666,0.8474390675882963,0.0025371617825438028
16.534902572631836,0.3367317963905404,1.8482616742451985,0.1479074700377364,150,50,15,log2,6,"{'n_estimators': 150, 'min_samples_split': 50, 'min_samples_leaf': 15, 'max_features': 'log2', 'max_depth': 6}",0.7388698227123637,0.7361113244459975,0.7397964179360841,0.7382591883648151,0.0015651696899429694,6,0.8914846056002244,0.9007119627551762,0.8980642658092346,0.8967536113882119,0.0038793806442756016
20.966411034266155,0.5386844263681094,3.7900997002919516,0.2508427309485768,150,50,15,log2,5,"{'n_estimators': 150, 'min_samples_split': 50, 'min_samples_leaf': 15, 'max_features': 'log2', 'max_depth': 5}",0.738040342517637,0.7336434880068387,0.7392113746685929,0.7369650683976895,0.0023968731428407226,7,0.8445165163976537,0.8550982412196182,0.8520069855959616,0.8505405810710779,0.00444267049756447
16.136116822560627,0.11096672102293648,1.7717477480570476,0.09198902853144587,50,40,15,sqrt,7,"{'n_estimators': 50, 'min_samples_split': 40, 'min_samples_leaf': 15, 'max_features': 'sqrt', 'max_depth': 7}",0.7376358031038615,0.7302339034167764,0.735181526714981,0.7343504110785396,0.0030784297561441375,8,0.8700492106082417,0.8789444675947478,0.873395738156873,0.8741298054532874,0.0036683820512359564
9.511069774627686,0.18934196643537796,10.358539660771688,0.18400851564740858,100,40,25,log2,7,"{'n_estimators': 100, 'min_samples_split': 40, 'min_samples_leaf': 25, 'max_features': 'log2', 'max_depth': 7}",0.7349537796314934,0.7313718449593061,0.736621995639567,0.7343158734101222,0.002190314102559899,9,0.9208733073339438,0.9221039636846251,0.9238171898656754,0.922264820294748,0.001207205375215509
7.748016119003296,2.608539816849802,5.228408734003703,2.5019958166086043,100,50,15,log2,7,"{'n_estimators': 100, 'min_samples_split': 50, 'min_samples_leaf': 15, 'max_features': 'log2', 'max_depth': 7}",0.7379053683330704,0.7296824477452352,0.7338877269122982,0.733825180996868,0.0033572845914631617,10,0.9208071583470208,0.9182536302534137,0.9232045033863139,0.9207550973289161,0.0020215207075735273
13.788201808929443,5.607225687620937,8.318835576375326,3.4353752658220222,100,60,15,log2,7,"{'n_estimators': 100, 'min_samples_split': 60, 'min_samples_leaf': 15, 'max_features': 'log2', 'max_depth': 7}",0.7374061406206366,0.730460462321612,0.7331515433392651,0.7336727154271712,0.0028594086821456164,11,0.9148388245970728,0.9162569905838858,0.9173207439547844,0.9161388530452476,0.0010166770326485118
21.146706183751423,0.7532309473037845,3.813251495361328,0.21104583787941592,100,50,20,log2,8,"{'n_estimators': 100, 'min_samples_split': 50, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': 8}",0.7355716280694427,0.7296184902780273,0.7330215850014513,0.7327372344496403,0.0024386613565821795,12,0.9533906112812189,0.9528337538620052,0.9531071453539457,0.9531105034990567,0.00022734849048290965
14.572630087534586,0.38418579272781317,1.1424342791239421,0.17058765264245893,100,50,25,log2,8,"{'n_estimators': 100, 'min_samples_split': 50, 'min_samples_leaf': 25, 'max_features': 'log2', 'max_depth': 8}",0.7321442535711815,0.7339499282299432,0.7309459861057237,0.7323467226356163,0.0012346827832699573,13,0.9526593564376779,0.9517549182537604,0.9530800138143035,0.9524980961685805,0.0005528551449429266
