mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1299.911597887675,24.791736264911464,69.77775931358337,2.465737029079309,linear,0.01,"{'kernel': 'linear', 'C': 0.01}",0.7793667128688099,0.7780628882739797,0.7759067951245052,0.777778798755765,0.0014267183417685455,1,0.8357480522686362,0.8374645610586139,0.837937073740673,0.8370498956893077,0.0009405368245974964
2108.749348719915,25.11566594519368,45.31225355466207,2.950633103064237,linear,0.05,"{'kernel': 'linear', 'C': 0.05}",0.7754741859458013,0.7733087728505623,0.7724307855002653,0.773737914765543,0.001278982318190806,2,0.8331763860785717,0.8342603271229291,0.8349416514253024,0.8341261215422677,0.0007268877902870411
2895.2143501440682,28.607564192092763,31.366755962371826,2.5800862375084765,linear,0.1,"{'kernel': 'linear', 'C': 0.1}",0.7737047467899938,0.771019849482057,0.7711547833451661,0.771959793205739,0.0012350975792101606,3,0.8317093908522815,0.8319839279882716,0.8333432235433423,0.8323455141279651,0.0007143345238325735
8598.379981358847,148.1564075632615,25.67153310775757,1.8019842859675508,linear,0.5,"{'kernel': 'linear', 'C': 0.5}",0.7695158903200355,0.7660291724641694,0.7675654275085817,0.7677034967642622,0.0014267907324077918,4,0.8274533641183862,0.82597694918378,0.8285025366076242,0.82731094996993,0.0010359727477530138
