kernel,C,cv_mean_score,train_roc_auc,val_roc_auc,overfit_gap,accuracy,f1_macro,f1_weighted
linear,0.01,0.777778798755765,0.8283723460432658,0.7853879236997019,0.04298442234356392,0.43270024772914945,0.44992169344345523,0.43342841766780665
linear,0.05,0.773737914765543,0.8274393219310128,0.7834183558750124,0.044020966056000366,0.43451692815854664,0.451510527728234,0.4349005889804624
linear,0.1,0.771959793205739,0.8269860867598906,0.7827461498522735,0.04423993690761707,0.4336911643270025,0.4510392562518281,0.4340670226868061
linear,0.5,0.7677034967642622,0.8257443249051263,0.7811590785937469,0.04458524631137939,0.43352601156069365,0.45078432311004374,0.43403722974475584
