C,class_weight,max_iter,penalty,solver,cv_mean_score,cv_std_score,roc_auc,accuracy,f1_macro,f1_weighted
0.001,balanced,1000,l2,lbfgs,0.7755834620375598,0.0020045423614409577,0.7791655046090143,0.4411230388109001,0.4538992044563185,0.4363485961399161
0.01,balanced,1000,l2,lbfgs,0.7733676660824145,0.0020005017775391594,0.7782484204218062,0.4393063583815029,0.44751746866285563,0.4325972289201495
0.1,balanced,1000,l2,lbfgs,0.7729826405247581,0.001986777176595546,0.7781217945369365,0.43864574731626754,0.4460485963560047,0.43163764766781254
